date,close,open,high,low,volume
2025-02-05,49.72,50.98,51.0,49.67,583072.3
2025-02-06,50.25,49.73,50.5,49.68,415037.24
2025-02-07,50.88,50.18,51.44,49.84,725812.02
2025-02-10,50.9,50.89,51.36,50.8,431814.84
2025-02-11,50.52,51.2,51.24,50.37,381844.0
2025-02-12,51.08,50.52,51.12,50.18,446993.78
2025-02-13,51.02,50.92,51.78,50.81,590363.32
2025-02-14,51.7,50.99,51.86,50.8,599771.61
2025-02-17,51.84,51.83,52.38,51.41,625710.44
2025-02-18,51.31,51.67,52.18,51.2,650082.34
2025-02-19,51.45,51.19,51.83,51.02,464425.76
2025-02-20,50.78,51.23,51.31,50.66,515384.78
2025-02-21,51.2,50.99,51.5,50.46,668760.93
2025-02-24,52.0,51.2,52.48,51.05,835822.74
2025-02-25,50.98,51.5,52.1,50.85,642429.44
2025-02-26,51.62,51.1,51.78,51.03,536578.05
2025-02-27,51.62,51.78,51.8,51.12,547240.08
2025-02-28,50.38,51.4,51.65,50.38,805267.53
2025-03-03,50.33,50.55,50.82,50.06,423160.83
2025-03-04,50.08,50.08,50.29,50.0,372431.63
2025-03-05,50.38,50.18,50.55,50.01,455071.76
2025-03-06,51.64,50.77,51.93,50.53,1045821.01
2025-03-07,51.5,51.6,51.84,51.32,481478.72
2025-03-10,51.25,51.51,51.66,50.78,611283.42
2025-03-11,51.5,50.71,51.5,50.6,529147.4
2025-03-12,51.15,51.5,51.6,51.01,470578.01
2025-03-13,51.14,51.15,51.55,50.93,411448.3
2025-03-14,53.47,51.33,53.89,51.21,1502448.65
2025-03-17,53.38,53.47,53.62,53.1,605171.76
2025-03-18,53.76,53.7,54.19,53.64,587740.02
2025-03-19,54.07,53.68,54.3,53.57,509874.21
2025-03-20,52.49,54.05,54.06,52.23,1140723.46
2025-03-21,51.75,52.4,52.66,51.68,795714.68
2025-03-24,52.13,51.82,52.28,51.82,508656.9
2025-03-25,51.96,52.15,52.21,51.82,344402.24
2025-03-26,51.72,51.98,52.09,51.72,403994.61
2025-03-27,52.06,51.71,52.45,51.53,432168.72
2025-03-28,51.96,52.2,52.37,51.85,353663.53
2025-03-31,51.63,51.9,52.25,51.39,468389.71
2025-04-01,51.62,51.6,51.86,51.41,394320.57
2025-04-02,51.86,51.58,51.96,51.53,283274.27
2025-04-03,51.48,51.39,52.0,51.38,373347.82
2025-04-07,48.56,49.3,49.77,47.0,1727558.41
2025-04-08,49.26,48.55,49.26,48.1,1117529.77
2025-04-09,48.93,48.8,49.25,48.36,737906.5
2025-04-10,49.48,49.36,49.8,49.21,657915.45
2025-04-11,49.35,49.48,49.54,48.98,450121.06
2025-04-14,49.48,49.6,49.85,49.44,387484.14
2025-04-15,49.83,49.48,49.97,49.26,407762.11
2025-04-16,49.88,49.72,50.17,49.4,467923.5
2025-04-17,50.16,49.69,50.28,49.58,377042.89
2025-04-18,50.44,50.05,50.66,49.95,338811.0
2025-04-21,50.28,50.4,50.61,50.2,263784.06
2025-04-22,50.57,50.2,50.79,50.12,355097.83
2025-04-23,50.7,50.76,50.95,50.46,298773.21
2025-04-24,51.22,50.7,51.48,50.7,423839.43
2025-04-25,51.33,51.24,51.59,51.22,368499.39
2025-04-28,51.21,50.42,51.34,50.03,518665.5
2025-04-29,51.0,51.17,51.64,50.86,337540.05
2025-04-30,50.71,51.1,51.55,50.68,377944.26
2025-05-06,50.8,51.0,51.15,50.55,391512.45
2025-05-07,51.18,51.42,51.63,51.03,420639.72
2025-05-08,51.96,51.01,52.35,50.9,671349.93
2025-05-09,51.75,51.91,52.16,51.75,290709.23
2025-05-12,52.6,52.23,52.75,52.0,577371.7
2025-05-13,52.46,52.79,52.79,52.25,403920.12
