ts_code,trade_date,close,pb,pe,total_mv
001389.SZ,20260206,99.5,13.766,59.94,4235590.62
600841.SH,20260206,9.55,3.768,,1325369.8
300968.SZ,20260206,13.71,2.976,105.46,566743.98
300634.SZ,20260206,28.46,4.671,54.73,1284146.22
300295.SZ,20260206,11.99,2.009,,227346.84
688370.SH,20260206,30.43,1.564,46.82,417219.28
301106.SZ,20260206,33.1,2.741,35.24,338000.1
300126.SZ,20260206,9.08,2.606,,275993.5
301093.SZ,20260206,83.29,4.713,215.22,1367635.33
600827.SH,20260206,9.12,0.828,10.36,1627161.32
300718.SZ,20260206,78.78,14.471,102.31,2353781.2
600330.SH,20260206,15.5,2.396,212.33,1911823.34
300378.SZ,20260206,48.17,5.955,83.05,1308065.17
000708.SZ,20260206,15.14,1.89,14.84,7641397.22
603501.SH,20260206,115.95,5.883,41.86,14562359.02
603399.SH,20260206,10.52,3.06,210.4,538929.76
301616.SZ,20260206,52.56,3.42,33.93,420480.0
603288.SH,20260206,37.09,6.676,32.54,21704418.72
300158.SZ,20260206,6.5,1.767,,644996.99
688017.SH,20260206,217.4,10.711,654.62,3985596.92
002626.SZ,20260206,19.01,2.709,33.95,1159486.0
600816.SH,20260206,2.84,2.041,525.93,2795823.3
688670.SH,20260206,20.4,1.967,,251328.0
301179.SZ,20260206,16.9,2.351,25.61,683448.79
002909.SZ,20260206,7.41,3.049,151.22,288990.0
688638.SH,20260206,40.4,2.33,,226240.0
002043.SZ,20260206,17.0,4.638,23.94,1410582.62
688563.SH,20260206,71.93,3.124,55.76,3236850.0
000833.SZ,20260206,19.32,4.359,55.63,1549622.85
600833.SH,20260206,13.28,2.609,18.19,296258.67
603680.SH,20260206,14.68,2.166,38.0877,1150499.15
002188.SZ,20260206,7.28,7.888,364.0,238131.61
000778.SZ,20260206,5.08,0.798,120.95,2013296.6
000692.SZ,20260206,3.85,11.179,,205140.7
600299.SH,20260206,9.56,1.65,21.24,2944268.97
