ts_code,end_date,roe,bps,eps,debt_to_assets,netprofit_yoy,ocf_to_profit
600793.SH,20241231,-32.0699,1.2494,-0.726,91.6918,-687.6967,
600792.SH,20241231,-20.8448,2.7244,-0.62,68.5813,-550.4442,
600794.SH,20241231,8.1517,2.1479,0.17,16.3544,-16.8334,
600796.SH,20241231,4.989,3.7806,0.18,52.896,-24.0561,
600795.SH,20241231,18.7621,3.1417,0.551,73.4045,75.285,
600797.SH,20241231,-1.907,3.1858,-0.06,40.4185,-153.96,
600798.SH,20241231,0.5579,3.2815,0.0183,18.983,-80.2037,
600800.SH,20241231,-30.4294,1.5881,-0.57,54.8143,-21.3301,
600802.SH,20241231,-14.6463,2.3904,-0.3649,69.8389,48.1603,
600801.SH,20241231,8.1597,14.5702,1.16,49.7965,-12.5207,
600803.SH,20241231,19.0704,7.5772,1.46,54.3024,-36.6364,
600805.SH,20241231,0.6229,5.1764,0.03,46.8879,-28.9237,
600808.SH,20241231,-18.2619,3.0021,-0.605,65.4002,-251.0617,
600809.SH,20241231,39.1204,28.4876,10.0354,34.1913,17.2902,
600810.SH,20241231,0.4472,6.8384,0.03,59.8331,-77.5655,
600812.SH,20241231,2.3726,3.1412,0.074,68.914,2496.7966,
600814.SH,20241231,6.9529,4.9535,0.34,45.5414,-4.9184,
600815.SH,20241231,0.4465,0.8578,0.004,25.1949,103.1022,
600816.SH,20241231,0.3969,1.3912,0.0054,39.6902,25.1498,
600817.SH,20241231,9.286,4.5387,0.43,44.3678,3.9714,
600818.SH,20241231,-3.3102,1.8332,-0.06,42.2078,-182.2988,
600819.SH,20241231,3.4062,3.6921,0.12,42.03,192.7629,
600820.SH,20241231,8.9378,9.7441,0.9,77.1973,-3.535,
600821.SH,20241231,8.8028,4.6537,0.41,75.07,0.0465,
600822.SH,20241231,4.283,2.4311,0.1,39.5677,-63.905,
600824.SH,20241231,1.4701,2.2881,0.034,16.1885,-37.8936,
600825.SH,20241231,1.6459,2.346,0.04,36.5961,11.8133,
600826.SH,20241231,7.6133,5.6936,0.49,25.4602,11.4373,
600827.SH,20241231,8.3691,11.0201,0.88,62.3502,292.7285,
600828.SH,20241231,0.5329,4.0276,0.0214,59.8253,-26.6292,
600829.SH,20241231,7.5728,4.9685,0.3678,59.7953,-27.002,
600830.SH,20241231,2.4807,4.7689,0.117,43.7547,139.5343,
600833.SH,20241231,15.2604,5.0905,0.73,42.2038,82.6501,
600831.SH,20241231,-40.7041,2.9163,-1.4901,80.7948,-69.091,
600834.SH,20241231,3.0682,3.554,0.1085,21.2088,-28.4918,
600835.SH,20241231,6.8963,13.4117,0.92,53.5273,-6.2591,
600839.SH,20241231,4.8876,3.1758,0.1524,74.8727,2.3006,
600838.SH,20241231,2.7922,3.8411,0.1,7.5804,-32.4214,
600843.SH,20241231,-7.7434,4.1398,-0.3461,49.7041,-369.1593,
600841.SH,20241231,-44.1949,2.5347,-1.44,73.4076,18.825,
600845.SH,20241231,19.9552,3.9525,0.797,43.2194,-11.2841,
600844.SH,20241231,-79.9535,0.2253,-0.3025,70.0612,21.7436,
600847.SH,20241231,-6.5088,3.5726,-0.26,11.6896,-56.523,
600846.SH,20241231,10.2741,6.525,0.65,65.3907,6.5126,
601607.SH,20241231,6.4943,19.3301,1.23,62.1434,20.8208,
600848.SH,20241231,5.8171,7.5862,0.43,59.4176,3.0719,
600850.SH,20241231,11.7758,7.0654,0.8001,58.5479,10.7685,
600851.SH,20241231,3.6374,3.5909,0.125,15.5763,-9.0886,
600853.SH,20241231,12.8456,3.1468,0.41,82.3968,23.5883,
600854.SH,20241231,5.6055,4.6467,0.2567,7.5825,-9.9717,
600855.SH,20241231,-14.1991,3.4348,-0.5259,53.3775,-4.5601,
600857.SH,20241231,-1.9064,3.7063,-0.07,8.299,-126.4523,
600858.SH,20241231,2.581,5.09,0.1301,74.9701,-68.7728,
600859.SH,20241231,1.3639,17.3183,0.237,51.3656,-62.139,
600860.SH,20241231,0.6955,1.9796,0.01,54.249,114.4693,
600861.SH,20241231,12.6148,11.5393,1.398,55.1833,44.4216,
600862.SH,20241231,17.3088,5.0846,0.83,20.1068,11.7522,
600863.SH,20241231,12.8394,2.5118,0.34,40.8771,15.9789,
600864.SH,20241231,2.709,6.1858,0.16,70.5461,65.5287,
600865.SH,20241231,5.7296,6.2225,0.35,8.8032,878.2057,
600866.SH,20241231,12.2184,4.7407,0.5677,44.8008,39.1175,
600867.SH,20241231,-0.6285,3.2212,-0.02,13.2558,-103.6583,
600868.SH,20241231,-3.718,1.1415,-0.0438,24.1784,17.4101,
600869.SH,20241231,-7.1143,1.9265,-0.1433,78.56,-199.4919,
600871.SH,20241231,7.8722,,,,7.1943,
600872.SH,20241231,17.3096,7.1679,1.1438,29.9485,-47.3724,
600873.SH,20241231,19.0718,5.109,0.94,38.7853,-13.8488,
600874.SH,20241231,8.5914,6.1569,0.51,57.0769,-6.7032,
600875.SH,20241231,7.6856,12.4447,0.94,69.6201,-17.6964,
600876.SH,20241231,-14.1116,6.2217,-0.94,64.4529,-254.5221,
600877.SH,20241231,2.8282,2.0786,0.06,15.6575,-70.6665,
600879.SH,20241231,2.6772,6.2677,0.166,47.8383,4.4152,
600880.SH,20241231,0.6197,2.7806,0.02,20.7162,-47.83,
600881.SH,20241231,-68.3417,0.8559,-0.9,92.0384,26.0803,
600882.SH,20241231,2.6084,8.6109,0.226,42.8922,89.161,
600883.SH,20241231,7.6856,4.126,0.3056,5.7231,-24.9602,
600884.SH,20241231,-1.6593,9.5773,-0.17,51.2325,-147.9705,
600885.SH,20241231,18.2797,8.7867,1.56,39.3046,17.0894,
600886.SH,20241231,10.9754,7.5514,0.8669,63.2175,-0.9233,
600887.SH,20241231,15.8413,8.3539,1.33,62.9141,-18.9449,
600888.SH,20241231,11.65,7.932,0.8784,37.7827,-22.9385,
600889.SH,20241231,-69.2361,1.1567,-1.22,71.9015,-142.6271,
600892.SH,20241231,-58.6885,0.1366,-0.11,71.068,-230.4595,
600893.SH,20241231,2.1689,14.9596,0.32,60.7384,-39.4767,
600894.SH,20241231,8.9823,10.0847,0.9373,37.2429,6.5601,
600895.SH,20241231,7.2243,8.4622,0.63,69.0357,3.642,
600897.SH,20241231,10.0103,10.713,1.034,17.5067,21.8,
600900.SH,20241231,15.7895,8.5943,1.3281,60.7902,19.2756,
600960.SH,20241231,-31.8311,3.6564,-1.3295,52.4965,-535.6587,
600963.SH,20241231,2.0087,4.4837,0.09,61.0248,118.0519,
600966.SH,20241231,2.6108,5.0867,0.1422,69.7357,-3.3075,
