ts_code,name,industry,symbol,market
000001.SZ,平安银行,银行,000001,SZ
000002.SZ,万科Ａ,全国地产,000002,SZ
000004.SZ,*ST国华,软件服务,000004,SZ
000006.SZ,深振业Ａ,区域地产,000006,SZ
000007.SZ,全新好,其他商业,000007,SZ
000008.SZ,神州高铁,运输设备,000008,SZ
000009.SZ,中国宝安,电气设备,000009,SZ
000010.SZ,美丽生态,建筑工程,000010,SZ
000011.SZ,深物业A,房产服务,000011,SZ
000012.SZ,南玻Ａ,玻璃,000012,SZ
000014.SZ,沙河股份,全国地产,000014,SZ
000016.SZ,深康佳Ａ,家用电器,000016,SZ
000017.SZ,深中华A,服饰,000017,SZ
000019.SZ,深粮控股,农业综合,000019,SZ
000020.SZ,深华发Ａ,元器件,000020,SZ
000021.SZ,深科技,元器件,000021,SZ
001872.SZ,招商港口,港口,001872,SZ
000025.SZ,特力Ａ,综合类,000025,SZ
000026.SZ,飞亚达,服饰,000026,SZ
000027.SZ,深圳能源,火力发电,000027,SZ
000028.SZ,国药一致,医药商业,000028,SZ
000029.SZ,深深房Ａ,区域地产,000029,SZ
000030.SZ,富奥股份,汽车配件,000030,SZ
000031.SZ,大悦城,全国地产,000031,SZ
000032.SZ,深桑达Ａ,建筑工程,000032,SZ
000034.SZ,神州数码,软件服务,000034,SZ
000035.SZ,中国天楹,环境保护,000035,SZ
000036.SZ,华联控股,全国地产,000036,SZ
000037.SZ,深南电A,火力发电,000037,SZ
000039.SZ,中集集团,运输设备,000039,SZ
000042.SZ,中洲控股,全国地产,000042,SZ
001914.SZ,招商积余,房产服务,001914,SZ
000045.SZ,深纺织Ａ,元器件,000045,SZ
000048.SZ,京基智农,农业综合,000048,SZ
000049.SZ,德赛电池,电气设备,000049,SZ
000050.SZ,深天马Ａ,元器件,000050,SZ
000055.SZ,方大集团,其他建材,000055,SZ
000056.SZ,皇庭国际,其他商业,000056,SZ
000058.SZ,深赛格,商品城,000058,SZ
000059.SZ,华锦股份,石油加工,000059,SZ
000060.SZ,中金岭南,铅锌,000060,SZ
000061.SZ,农产品,农业综合,000061,SZ
000062.SZ,深圳华强,元器件,000062,SZ
000063.SZ,中兴通讯,通信设备,000063,SZ
000065.SZ,北方国际,建筑工程,000065,SZ
000066.SZ,中国长城,IT设备,000066,SZ
000068.SZ,华控赛格,环境保护,000068,SZ
000069.SZ,华侨城Ａ,全国地产,000069,SZ
000070.SZ,特发信息,通信设备,000070,SZ
000078.SZ,海王生物,医药商业,000078,SZ
000088.SZ,盐田港,港口,000088,SZ
000089.SZ,深圳机场,机场,000089,SZ
000090.SZ,天健集团,建筑工程,000090,SZ
000096.SZ,广聚能源,石油贸易,000096,SZ
000099.SZ,中信海直,空运,000099,SZ
000100.SZ,TCL科技,元器件,000100,SZ
000151.SZ,中成股份,商贸代理,000151,SZ
000153.SZ,丰原药业,化学制药,000153,SZ
000155.SZ,川能动力,新型电力,000155,SZ
000156.SZ,华数传媒,影视音像,000156,SZ
000157.SZ,中联重科,工程机械,000157,SZ
000158.SZ,常山北明,软件服务,000158,SZ
000159.SZ,国际实业,石油贸易,000159,SZ
000301.SZ,东方盛虹,化纤,000301,SZ
000400.SZ,许继电气,电气设备,000400,SZ
000401.SZ,金隅冀东,水泥,000401,SZ
000402.SZ,金融街,全国地产,000402,SZ
000403.SZ,派林生物,生物制药,000403,SZ
000404.SZ,长虹华意,家用电器,000404,SZ
000407.SZ,胜利股份,供气供热,000407,SZ
000408.SZ,藏格矿业,农药化肥,000408,SZ
000409.SZ,云鼎科技,软件服务,000409,SZ
000410.SZ,沈阳机床,机床制造,000410,SZ
000411.SZ,英特集团,医药商业,000411,SZ
000415.SZ,渤海租赁,多元金融,000415,SZ
000417.SZ,合百集团,百货,000417,SZ
000419.SZ,通程控股,百货,000419,SZ
000420.SZ,吉林化纤,化纤,000420,SZ
000421.SZ,南京公用,供气供热,000421,SZ
000422.SZ,湖北宜化,农药化肥,000422,SZ
000423.SZ,东阿阿胶,中成药,000423,SZ
000425.SZ,徐工机械,工程机械,000425,SZ
000426.SZ,兴业银锡,铅锌,000426,SZ
000428.SZ,华天酒店,酒店餐饮,000428,SZ
000429.SZ,粤高速Ａ,路桥,000429,SZ
000430.SZ,*ST张股,旅游景点,000430,SZ
000488.SZ,ST晨鸣,造纸,000488,SZ
000498.SZ,山东路桥,建筑工程,000498,SZ
000501.SZ,武商集团,百货,000501,SZ
000503.SZ,国新健康,软件服务,000503,SZ
000504.SZ,*ST生物,医疗保健,000504,SZ
000505.SZ,京粮控股,食品,000505,SZ
000506.SZ,招金黄金,黄金,000506,SZ
000507.SZ,珠海港,新型电力,000507,SZ
000509.SZ,华塑控股,元器件,000509,SZ
000510.SZ,新金路,化工原料,000510,SZ
000513.SZ,丽珠集团,化学制药,000513,SZ
000514.SZ,渝开发,区域地产,000514,SZ
000516.SZ,国际医学,医疗保健,000516,SZ
000517.SZ,荣安地产,区域地产,000517,SZ
000518.SZ,*ST四环,生物制药,000518,SZ
000519.SZ,中兵红箭,专用机械,000519,SZ
000520.SZ,凤凰航运,水运,000520,SZ
000521.SZ,长虹美菱,家用电器,000521,SZ
000523.SZ,红棉股份,食品,000523,SZ
000524.SZ,岭南控股,旅游服务,000524,SZ
000525.SZ,红太阳,农药化肥,000525,SZ
000526.SZ,学大教育,文教休闲,000526,SZ
000528.SZ,柳工,工程机械,000528,SZ
000529.SZ,广弘控股,食品,000529,SZ
000530.SZ,冰山冷热,机械基件,000530,SZ
000531.SZ,穗恒运Ａ,火力发电,000531,SZ
000532.SZ,华金资本,多元金融,000532,SZ
000533.SZ,顺钠股份,电气设备,000533,SZ
000534.SZ,万泽股份,生物制药,000534,SZ
000536.SZ,华映科技,元器件,000536,SZ
000537.SZ,绿发电力,新型电力,000537,SZ
000538.SZ,云南白药,中成药,000538,SZ
000539.SZ,粤电力Ａ,火力发电,000539,SZ
000541.SZ,佛山照明,家用电器,000541,SZ
000543.SZ,皖能电力,火力发电,000543,SZ
000544.SZ,中原环保,环境保护,000544,SZ
000545.SZ,金浦钛业,化工原料,000545,SZ
000546.SZ,金圆股份,环境保护,000546,SZ
000547.SZ,航天发展,通信设备,000547,SZ
000548.SZ,湖南投资,路桥,000548,SZ
000550.SZ,江铃汽车,汽车整车,000550,SZ
000551.SZ,创元科技,专用机械,000551,SZ
000552.SZ,甘肃能化,煤炭开采,000552,SZ
000553.SZ,安道麦A,农药化肥,000553,SZ
000554.SZ,泰山石油,石油贸易,000554,SZ
000555.SZ,神州信息,软件服务,000555,SZ
000557.SZ,西部创业,铁路,000557,SZ
000558.SZ,天府文旅,旅游景点,000558,SZ
000559.SZ,万向钱潮,汽车配件,000559,SZ
000560.SZ,我爱我家,房产服务,000560,SZ
000561.SZ,烽火电子,通信设备,000561,SZ
000563.SZ,陕国投Ａ,多元金融,000563,SZ
000564.SZ,供销大集,百货,000564,SZ
000565.SZ,渝三峡Ａ,染料涂料,000565,SZ
000566.SZ,海南海药,化学制药,000566,SZ
000567.SZ,海德股份,多元金融,000567,SZ
000568.SZ,泸州老窖,白酒,000568,SZ
000570.SZ,苏常柴Ａ,农用机械,000570,SZ
000571.SZ,新大洲A,煤炭开采,000571,SZ
000572.SZ,海马汽车,汽车整车,000572,SZ
000573.SZ,粤宏远Ａ,区域地产,000573,SZ
000576.SZ,甘化科工,电气设备,000576,SZ
000581.SZ,威孚高科,汽车配件,000581,SZ
000582.SZ,北部湾港,港口,000582,SZ
000586.SZ,汇源通信,通信设备,000586,SZ
000589.SZ,贵州轮胎,汽车配件,000589,SZ
000590.SZ,古汉医药,中成药,000590,SZ
000591.SZ,太阳能,新型电力,000591,SZ
000592.SZ,平潭发展,林业,000592,SZ
000593.SZ,德龙汇能,供气供热,000593,SZ
000595.SZ,*ST宝实,新型电力,000595,SZ
000596.SZ,古井贡酒,白酒,000596,SZ
000597.SZ,东北制药,化学制药,000597,SZ
000598.SZ,兴蓉环境,水务,000598,SZ
000599.SZ,青岛双星,汽车配件,000599,SZ
000600.SZ,建投能源,火力发电,000600,SZ
000601.SZ,韶能股份,水力发电,000601,SZ
000603.SZ,盛达资源,铅锌,000603,SZ
000605.SZ,渤海股份,水务,000605,SZ
000607.SZ,华媒控股,广告包装,000607,SZ
000608.SZ,*ST阳光,区域地产,000608,SZ
000609.SZ,ST中迪,区域地产,000609,SZ
000610.SZ,西安旅游,旅游服务,000610,SZ
000612.SZ,焦作万方,铝,000612,SZ
000615.SZ,*ST美谷,医疗保健,000615,SZ
000617.SZ,中油资本,多元金融,000617,SZ
000619.SZ,海螺新材,其他建材,000619,SZ
000620.SZ,盈新发展,全国地产,000620,SZ
000623.SZ,吉林敖东,中成药,000623,SZ
000625.SZ,长安汽车,汽车整车,000625,SZ
000626.SZ,远大控股,商贸代理,000626,SZ
000628.SZ,高新发展,建筑工程,000628,SZ
000629.SZ,钒钛股份,小金属,000629,SZ
000630.SZ,铜陵有色,铜,000630,SZ
000631.SZ,顺发恒能,综合类,000631,SZ
000632.SZ,三木集团,综合类,000632,SZ
000633.SZ,合金投资,小金属,000633,SZ
000635.SZ,英力特,化工原料,000635,SZ
000636.SZ,风华高科,元器件,000636,SZ
000637.SZ,茂化实华,石油加工,000637,SZ
000638.SZ,*ST万方,农业综合,000638,SZ
000639.SZ,西王食品,食品,000639,SZ
000650.SZ,仁和药业,中成药,000650,SZ
000651.SZ,格力电器,家用电器,000651,SZ
000652.SZ,泰达股份,批发业,000652,SZ
000655.SZ,金岭矿业,普钢,000655,SZ
000656.SZ,*ST金科,全国地产,000656,SZ
000657.SZ,中钨高新,小金属,000657,SZ
000659.SZ,珠海中富,广告包装,000659,SZ
000661.SZ,长春高新,生物制药,000661,SZ
000663.SZ,永安林业,林业,000663,SZ
000665.SZ,湖北广电,影视音像,000665,SZ
000668.SZ,*ST荣控,房产服务,000668,SZ
000669.SZ,ST金鸿,供气供热,000669,SZ
000670.SZ,盈方微,元器件,000670,SZ
000672.SZ,上峰水泥,水泥,000672,SZ
000676.SZ,智度股份,互联网,000676,SZ
000677.SZ,恒天海龙,化纤,000677,SZ
000678.SZ,襄阳轴承,汽车配件,000678,SZ
000679.SZ,大连友谊,百货,000679,SZ
000680.SZ,山推股份,工程机械,000680,SZ
000681.SZ,视觉中国,互联网,000681,SZ
000682.SZ,东方电子,电气设备,000682,SZ
000683.SZ,博源化工,化工原料,000683,SZ
000685.SZ,中山公用,水务,000685,SZ
000686.SZ,东北证券,证券,000686,SZ
000688.SZ,国城矿业,铅锌,000688,SZ
000690.SZ,宝新能源,火力发电,000690,SZ
000691.SZ,*ST亚太,化工原料,000691,SZ
000692.SZ,惠天热电,供气供热,000692,SZ
000695.SZ,滨海能源,化工原料,000695,SZ
001696.SZ,宗申动力,摩托车,001696,SZ
000697.SZ,ST炼石,航空,000697,SZ
000698.SZ,ST沈化,石油加工,000698,SZ
000700.SZ,模塑科技,汽车配件,000700,SZ
000701.SZ,厦门信达,商贸代理,000701,SZ
000702.SZ,正虹科技,饲料,000702,SZ
000703.SZ,恒逸石化,化纤,000703,SZ
000705.SZ,浙江震元,医药商业,000705,SZ
000707.SZ,双环科技,化工原料,000707,SZ
000708.SZ,中信特钢,特种钢,000708,SZ
000709.SZ,河钢股份,普钢,000709,SZ
000710.SZ,贝瑞基因,医疗保健,000710,SZ
000711.SZ,ST京蓝,环境保护,000711,SZ
000712.SZ,锦龙股份,证券,000712,SZ
000713.SZ,国投丰乐,种植业,000713,SZ
000715.SZ,中兴商业,百货,000715,SZ
000716.SZ,黑芝麻,食品,000716,SZ
000717.SZ,中南股份,普钢,000717,SZ
000718.SZ,苏宁环球,区域地产,000718,SZ
000719.SZ,中原传媒,出版业,000719,SZ
000720.SZ,新能泰山,电气设备,000720,SZ
000721.SZ,西安饮食,酒店餐饮,000721,SZ
000722.SZ,湖南发展,水力发电,000722,SZ
000723.SZ,美锦能源,焦炭加工,000723,SZ
000725.SZ,京东方Ａ,元器件,000725,SZ
000726.SZ,鲁泰Ａ,纺织,000726,SZ
000727.SZ,冠捷科技,元器件,000727,SZ
000728.SZ,国元证券,证券,000728,SZ
000729.SZ,燕京啤酒,啤酒,000729,SZ
000731.SZ,四川美丰,农药化肥,000731,SZ
000733.SZ,振华科技,元器件,000733,SZ
000735.SZ,罗牛山,农业综合,000735,SZ
000736.SZ,*ST中地,全国地产,000736,SZ
000737.SZ,北方铜业,铜,000737,SZ
000738.SZ,航发控制,航空,000738,SZ
000739.SZ,普洛药业,化学制药,000739,SZ
000750.SZ,国海证券,证券,000750,SZ
000751.SZ,锌业股份,铅锌,000751,SZ
000752.SZ,ST西发,啤酒,000752,SZ
000753.SZ,漳州发展,综合类,000753,SZ
000755.SZ,山西高速,路桥,000755,SZ
000756.SZ,新华制药,化学制药,000756,SZ
000757.SZ,浩物股份,汽车服务,000757,SZ
000758.SZ,中色股份,铅锌,000758,SZ
000759.SZ,中百集团,超市连锁,000759,SZ
000761.SZ,本钢板材,普钢,000761,SZ
000762.SZ,西藏矿业,小金属,000762,SZ
000766.SZ,通化金马,化学制药,000766,SZ
000767.SZ,晋控电力,火力发电,000767,SZ
000768.SZ,中航西飞,航空,000768,SZ
000776.SZ,广发证券,证券,000776,SZ
000777.SZ,中核科技,机械基件,000777,SZ
000778.SZ,新兴铸管,钢加工,000778,SZ
000779.SZ,甘咨询,建筑工程,000779,SZ
000782.SZ,恒申新材,化纤,000782,SZ
000783.SZ,长江证券,证券,000783,SZ
000785.SZ,居然智家,百货,000785,SZ
000786.SZ,北新建材,其他建材,000786,SZ
000788.SZ,北大医药,化学制药,000788,SZ
000789.SZ,万年青,水泥,000789,SZ
